序号,漫剧名称,平台,播放量(亿),点赞数(万),评论数(万),题材类型,剧情套路,制作方式,目标受众,集数,单集时长(分钟),首播时间
38,签到十万年：出世即无敌,快手,6.5,1200,125,修仙玄幻,签到系统+无敌,AI生成,18-30岁男性,60,1.5,2024-05
39,开局拥有百亿资产,抖音,5.8,1050,110,都市重生,开局无敌+装逼,AI生成,18-35岁男性,55,1.5,2024-06
40,我在异世界当领主,快手,4.9,880,92,异世界穿越,穿越+基建+后宫,AI生成,20-35岁男性,50,2,2024-07
41,重生之妃常厉害,抖音,4.2,780,85,古代重生,重生+宫斗,AI生成,20-35岁女性,48,2,2024-06
42,嫡女重生记,快手,3.9,720,78,古代重生,重生+宅斗,AI生成,20-35岁女性,45,2,2024-07
43,霸道总裁轻点爱,抖音,6.8,1350,145,甜宠恋爱,霸道总裁+甜宠,AI生成,18-30岁女性,65,1.5,2024-04
44,小娇妻别想逃,快手,5.5,1050,115,甜宠恋爱,先婚后爱+追逃,AI生成,18-30岁女性,55,1.5,2024-05
45,墨少的心尖宠,抖音,4.8,920,98,甜宠恋爱,甜宠+豪门,AI生成,18-30岁女性,50,1.5,2024-06
46,神医嫡女,快手,5.2,980,105,古代言情,神医+宅斗,AI生成,20-35岁女性,52,2,2024-05
47,毒医狂妃,抖音,4.6,850,92,古代言情,毒医+逆袭,AI生成,20-35岁女性,48,2,2024-06
48,邪王追妻路漫漫,快手,5.8,1100,125,古代言情,追妻+虐恋,AI生成,18-30岁女性,60,2,2024-04
49,白夜追凶漫剧版,抖音,4.5,780,135,悬疑推理,双胞胎+探案,AI生成+真人配音,22-40岁全性别,35,3,2024-06
50,无证之罪AI版,快手,3.8,650,98,悬疑推理,社会派+犯罪,AI生成,22-40岁全性别,30,3,2024-07
51,唐朝诡事录AI漫剧,抖音,5.2,950,125,悬疑推理,古装探案+志怪,AI生成,20-40岁全性别,48,2.5,2024-05
52,大宋提刑官AI版,快手,4.5,820,105,悬疑推理,古装+法医,AI生成,25-45岁全性别,42,3,2024-06
53,庆余年AI漫剧版,抖音,9.5,1850,225,历史穿越,穿越+权谋,AI生成+人工精修,20-40岁全性别,90,3,2024-02
54,赘婿AI漫剧,快手,8.2,1550,185,历史穿越,穿越+经商,AI生成,20-40岁男性,75,2.5,2024-03
55,雪中悍刀行AI版,抖音,10.5,2100,265,武侠玄幻,武侠+权谋,AI生成+人工精修,18-40岁男性,100,3,2024-01
56,剑来AI漫剧,快手,7.8,1450,175,仙侠玄幻,修仙+哲理,AI生成,18-35岁男性,85,2.5,2024-04
57,完美世界AI版,抖音,11.2,2400,285,修仙玄幻,无敌流+成长,AI重制+AI生成,18-30岁全性别,120,3,2024-01
58,斗破苍穹AI重制,B站/抖音,12.5,2800,320,修仙玄幻,废柴逆袭+热血,AI重制,18-35岁全性别,150,3,2024-01
59,斗罗大陆AI漫剧,快手,9.8,1950,215,修仙玄幻,穿越+学院流,AI生成,16-30岁全性别,110,2.5,2024-02
60,吞噬星空AI版,抖音,8.5,1650,185,科幻修仙,科幻+修炼,AI生成,18-35岁男性,95,3,2024-03
61,莽荒纪AI漫剧,快手,6.2,1150,135,修仙玄幻,洪荒+修炼,AI生成,20-35岁男性,70,2.5,2024-04
62,遮天AI短剧,抖音,7.5,1400,165,修仙玄幻,九龙拉棺+修仙,AI生成,20-35岁男性,80,3,2024-03
63,圣墟AI版,快手,6.8,1250,145,修仙玄幻,灵气复苏+进化,AI生成,18-35岁男性,75,2.5,2024-04
64,神墓AI漫剧,抖音,5.5,1000,115,修仙玄幻,复活+逆天,AI生成,20-35岁男性,65,3,2024-05
65,长生界AI版,快手,4.8,850,95,修仙玄幻,长生+异界,AI生成,20-35岁男性,55,3,2024-06
66,都市之最强狂兵,抖音,5.8,1100,125,都市兵王,兵王+都市,AI生成,20-40岁男性,60,2,2024-04
67,绝世兵王,快手,4.5,850,98,都市兵王,兵王+复仇,AI生成,20-40岁男性,50,2,2024-05
68,超级兵王在都市,抖音,4.2,780,88,都市兵王,兵王+装逼,AI生成,20-40岁男性,48,2,2024-06
69,最强反套路系统,快手,6.5,1200,145,修仙玄幻,系统+搞笑,AI生成,18-30岁全性别,70,2,2024-04
70,大王饶命AI漫剧,抖音,7.2,1350,165,都市修仙,毒舌+灵气复苏,AI生成+人工精修,18-30岁全性别,80,2.5,2024-03
71,第一序列AI版,快手,5.8,1050,125,末日科幻,末世+生存,AI生成,18-35岁全性别,65,3,2024-04
72,夜的命名术AI漫剧,抖音,6.8,1250,155,都市异能,赛博朋克+穿越,AI生成,18-35岁全性别,75,2.5,2024-04
73,深空彼岸AI版,快手,5.2,950,105,都市修仙,列仙+科技,AI生成,20-35岁男性,60,3,2024-05
74,择日飞升AI漫剧,抖音,4.5,820,92,修仙玄幻,捕蛇+修仙,AI生成,20-35岁男性,55,3,2024-06
75,道诡异仙AI版,B站,8.5,1650,245,修仙克苏鲁,诡异+中式恐怖,AI生成+人工精修,18-35岁全性别,70,3,2024-03
76,诡秘之主AI漫剧,抖音,9.2,1850,285,西幻克苏鲁,蒸汽朋克+神秘,AI生成+人工精修,18-40岁全性别,85,3.5,2024-02
77,大奉打更人AI版,快手,10.8,2250,295,仙侠探案,探案+修仙+后宫,AI生成,20-40岁男性,100,3,2024-01
78,大周仙吏AI漫剧,抖音,6.5,1200,135,仙侠官场,官场+修仙+后宫,AI生成,20-40岁男性,70,2.5,2024-04
79,从前有座灵剑山AI重制,B站,7.8,1450,175,修仙搞笑,吐槽+修仙,AI重制,18-35岁全性别,80,3,2024-03
80,一人之下AI漫剧版,快手,9.5,1950,235,都市异能,异能+传统文化,AI生成+人工精修,18-40岁全性别,95,3,2024-02
81,狐妖小红娘AI版,抖音,8.2,1650,195,玄幻恋爱,妖怪+恋爱,AI重制,16-35岁全性别,85,2.5,2024-03
82,镇魂街AI漫剧,快手,7.5,1450,165,热血玄幻,守护灵+热血,AI生成,18-35岁男性,78,3,2024-04
83,刺客伍六七AI版,B站,8.8,1750,215,搞笑武侠,刺客+搞笑,AI重制,16-35岁全性别,65,3,2024-03
84,雾山五行AI漫剧,抖音,6.2,1150,145,古风玄幻,武侠+神话,AI生成,18-40岁全性别,45,4,2024-05
85,灵笼AI重制版,快手,7.8,1500,185,科幻末日,末日+人性,AI重制+人工精修,18-40岁全性别,60,4,2024-04
86,三体AI漫剧版,抖音,11.5,2500,385,科幻,硬科幻+宇宙,AI生成+人工精修,20-45岁全性别,90,4,2024-01
87,流浪地球AI版,快手,8.5,1700,225,科幻,末日+救援,AI生成,18-40岁全性别,55,4,2024-03
88,我的三体AI重制,B站,9.8,2100,325,科幻,MC风格+三体,AI重制,18-40岁全性别,100,3.5,2024-01
89,超神学院AI漫剧,抖音,6.5,1250,155,科幻军事,军事+超能力,AI生成,18-35岁男性,75,3,2024-04
90,雄兵连AI版,快手,5.8,1100,135,科幻军事,军事+科幻,AI生成,18-35岁男性,68,3,2024-05
91,黑甲AI漫剧,抖音,4.5,850,105,科幻军事,机甲+战斗,AI生成,18-35岁男性,52,3,2024-06
92,纳米核心AI版,B站,5.2,980,125,科幻机甲,机甲+冒险,AI重制,16-30岁全性别,60,3.5,2024-05
93,星游记AI漫剧,快手,6.8,1300,165,科幻冒险,太空+冒险,AI生成,16-30岁全性别,70,3,2024-04
94,魁拔AI重制版,抖音,7.2,1400,185,奇幻冒险,妖侠+成长,AI重制,16-35岁全性别,75,3.5,2024-03
95,大理寺日志AI版,B站,6.5,1250,165,古风探案,猫咪+探案,AI生成,18-40岁全性别,65,3,2024-04
96,天官赐福AI漫剧,抖音,9.8,2050,285,古风玄幻,神仙+耽美向,AI生成+人工精修,16-35岁女性,90,3,2024-02
97,魔道祖师AI重制,快手,11.2,2400,345,古风玄幻,修仙+兄弟情,AI重制,16-35岁女性,100,3,2024-01
98,人渣反派自救系统AI版,B站,8.5,1750,245,古风玄幻,穿书+师徒,AI生成,16-35岁女性,80,3,2024-03
99,穿书自救指南AI漫剧,抖音,7.8,1550,215,古风玄幻,系统+搞笑,AI生成,16-35岁全性别,75,3,2024-04
100,山河剑心AI版,快手,6.2,1200,155,古风武侠,武侠+知己,AI生成,18-40岁全性别,68,3,2024-05
101,天宝伏妖录AI漫剧,抖音,5.8,1150,145,古风玄幻,捉妖+美男,AI生成,18-35岁女性,62,3,2024-05
102,定海浮生录AI版,B站,4.9,950,115,古风玄幻,驱魔师+神话,AI生成,18-35岁全性别,55,3,2024-06
103,烈火浇愁AI漫剧,抖音,5.5,1050,135,现代玄幻,现代+古代穿越,AI生成,18-35岁全性别,58,3,2024-05
104,时光代理人AI重制,快手,7.5,1450,195,现代奇幻,照片+穿越,AI重制,18-35岁全性别,45,4,2024-04
105,罗小黑战记AI版,B站,8.8,1850,265,奇幻治愈,猫咪+冒险,AI重制,全年龄,50,3.5,2024-03
106,非人哉AI漫剧,抖音,6.5,1250,175,搞笑神话,神仙+现代日常,AI生成,全年龄,85,2,2024-04
107,万圣街AI版,快手,5.2,1000,125,搞笑神话,外国妖怪+合租,AI生成,18-35岁全性别,70,2,2024-05
108,有兽焉AI漫剧,B站,5.8,1150,155,治愈神话,神兽+日常,AI生成,全年龄,75,2,2024-04
109,请吃红小豆吧AI版,抖音,4.5,850,105,治愈日常,红豆+梦想,AI重制,全年龄,40,2,2024-06
110,如果历史是一群喵AI重制,快手,7.2,1400,185,历史科普,猫咪+历史,AI重制,全年龄,120,2,2024-03
111,那年那兔那些事儿AI版,B站,8.5,1700,265,历史军事,动物+近现代史,AI重制,全年龄,100,3,2024-02
112,中国唱诗班AI漫剧,抖音,5.8,1100,145,古风诗意,古诗+唯美,AI生成,全年龄,20,5,2024-05
113,雾山五行AI重制版,快手,6.8,1300,175,古风武侠,武侠+五行,AI重制,18-40岁全性别,25,5,2024-04
114,哪吒之魔童降世AI版,抖音,9.5,1950,285,神话改编,哪吒+命运,AI生成+人工精修,全年龄,40,4,2024-02
115,姜子牙AI漫剧,快手,6.5,1250,165,神话改编,姜子牙+天下,AI生成,18-40岁全性别,35,4,2024-04
116,白蛇：缘起AI版,B站,7.8,1550,205,神话爱情,白蛇+爱情,AI重制,18-40岁全性别,38,4,2024-03
117,青蛇：劫起AI漫剧,抖音,6.2,1200,155,神话奇幻,青蛇+穿越,AI生成,18-40岁全性别,32,4,2024-05
118,新神榜：哪吒重生AI版,快手,5.5,1050,135,赛博神话,赛博朋克+神话,AI生成,18-35岁全性别,30,4,2024-05
119,新神榜：杨戬AI漫剧,B站,6.8,1350,175,神话改编,杨戬+蒸汽朋克,AI生成,18-35岁全性别,35,4,2024-04
120,长安三万里AI版,抖音,7.5,1500,205,历史动画,唐诗+历史,AI生成+人工精修,全年龄,45,4,2024-03
121,深海AI漫剧,快手,5.8,1100,145,奇幻治愈,海洋+心理,AI生成,18-40岁全性别,30,4,2024-05
122,熊出没AI重制版,抖音,8.2,1600,125,儿童动画,熊+光头强,AI重制,儿童/家庭,150,1.5,2024-02
123,喜羊羊与灰太狼AI版,B站,7.5,1450,115,儿童动画,羊+狼,AI重制,儿童/家庭,200,1.5,2024-03
124,猪猪侠AI漫剧,快手,5.5,1000,85,儿童动画,猪猪侠+冒险,AI生成,儿童,120,1.5,2024-05
125,开心超人AI版,抖音,4.8,850,75,儿童动画,超人+搞笑,AI生成,儿童,100,1.5,2024-06
126,果宝特攻AI重制,B站,6.2,1150,105,搞笑机甲,水果+机甲,AI重制,16-30岁全性别,80,2,2024-04
127,超兽武装AI漫剧,快手,5.8,1050,125,科幻机甲,平行宇宙+哲学,AI生成,18-35岁全性别,90,3,2024-05
128,钢铁飞龙AI版,抖音,4.5,800,65,科幻机甲,机甲+战斗,AI生成,儿童/少年,70,2,2024-06
129,神兽金刚AI漫剧,B站,4.2,750,55,科幻机甲,神兽+机甲,AI生成,儿童,85,2,2024-06
130,巴啦啦小魔仙AI重制,快手,6.5,1200,95,魔法少女,魔法+少女,AI重制,少女/儿童,100,2,2024-04
131,精灵梦叶罗丽AI版,抖音,7.8,1500,145,魔法少女,仙子+环保,AI重制,少女,120,2,2024-03
132,舞法天女AI漫剧,B站,4.5,820,75,魔法少女,舞蹈+魔法,AI生成,少女,60,2,2024-06
133,小花仙AI版,快手,5.2,950,85,魔法少女,花朵+魔法,AI生成,少女,90,2,2024-05
134,星学院AI漫剧,抖音,4.8,880,78,魔法学院,魔法+学院,AI生成,少女,75,2,2024-06
135,京剧猫AI重制,B站,6.8,1300,135,国粹动画,京剧+猫咪,AI重制,全年龄,80,3,2024-04
136,秦时明月AI版,快手,9.2,1850,255,历史武侠,秦朝+武侠,AI重制+人工精修,18-45岁全性别,180,3,2024-01
137,天行九歌AI漫剧,抖音,7.5,1500,195,历史权谋,战国+权谋,AI生成,18-45岁全性别,90,3,2024-03
138,武庚纪AI版,B站,6.5,1250,155,神话改编,商周+神族,AI生成,18-35岁男性,100,3,2024-04
139,斗罗大陆2绝世唐门AI漫剧,快手,8.8,1750,215,修仙玄幻,斗罗+学院,AI生成,16-35岁全性别,120,3,2024-02
140,神印王座AI版,抖音,7.2,1400,175,奇幻玄幻,骑士+魔法,AI生成,16-35岁全性别,95,3,2024-03
141,冰火魔厨AI漫剧,B站,5.5,1050,115,奇幻玄幻,厨师+魔法,AI生成,18-35岁全性别,70,3,2024-05
142,琴帝AI版,快手,5.2,980,105,奇幻玄幻,音乐+魔法,AI生成,18-35岁全性别,65,3,2024-05
143,酒神AI漫剧,抖音,4.8,900,95,奇幻玄幻,调酒+魔法,AI生成,18-35岁全性别,60,3,2024-06
144,天珠变AI版,B站,6.2,1150,135,修仙玄幻,弓箭+修炼,AI生成,18-35岁男性,80,3,2024-04
145,神澜奇域AI漫剧,快手,4.5,820,85,奇幻玄幻,七色海+冒险,AI生成,18-35岁全性别,55,3,2024-06
146,惟我独仙AI版,抖音,5.8,1100,125,修仙玄幻,修仙+海龙,AI生成,18-35岁男性,75,3,2024-05
147,空速星痕AI漫剧,B站,4.2,780,75,科幻异能,异能+星际,AI生成,18-35岁男性,50,3,2024-06
148,狂神AI版,快手,6.5,1200,145,奇幻玄幻,人魔混血+战斗,AI生成,18-35岁男性,85,3,2024-04
149,光之子AI漫剧,抖音,4.8,880,88,奇幻玄幻,光系魔法+成长,AI生成,16-35岁全性别,60,3,2024-06
150,善良的死神AI版,B站,5.5,1000,115,奇幻玄幻,死神+成长,AI生成,16-35岁全性别,70,3,2024-05
